Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
54,27,SELL (EXIT),2010-07-02,ENGINERSIN.NS,Weekly,155.75,163,173.22,26241.370000000003,1993.49,76.32,1917.17,7.305906665696188,120407.56000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0027_ENGINERSIN.NS_2010-07-01_PROFIT.png
55,28,BUY (ENTRY),2010-07-02,MFSL.NS,Weekly,156.6,246,158.21,38919.66,0.0,0.0,0.0,0.0,78099.52000000005,1:2,OPEN,N/A
56,28,SELL (EXIT),2010-07-08,MFSL.NS,Weekly,156.6,246,154.15,38919.66,-998.76,101.39,-1100.15,-2.826720480086414,119307.41000000005,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0028_MFSL.NS_2010-07-02_LOSS.png
57,29,BUY (ENTRY),2010-07-08,SHREECEM.NS,Weekly,1875.1,15,1931.88,28978.2,0.0,0.0,0.0,0.0,86940.83000000005,1:2,OPEN,N/A
58,29,SELL (EXIT),2010-07-19,SHREECEM.NS,Weekly,1875.1,15,1869.23,28978.2,-939.75,79.36,-1019.11,-3.5168160893361216,118288.30000000005,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0029_SHREECEM.NS_2010-07-08_LOSS.png
59,30,BUY (ENTRY),2010-07-21,SANWARIA.NS,Weekly,10.69,584,12.14,7089.76,0.0,0.0,0.0,0.0,107810.16000000005,1:2,OPEN,N/A
60,26,SELL (EXIT),2010-09-23,AQYLON.NS,Weekly,2615.0,1,4570.75,3388.38,1182.37,24.69,1157.68,34.16617970829718,119445.98000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0026_AQYLON.NS_2010-06-07_PROFIT.png
61,31,BUY (ENTRY),2010-09-09,NTPC.NS,Weekly,160.17,242,167.42,40515.64,0.0,0.0,0.0,0.0,71840.58000000005,1:2,OPEN,N/A
62,30,SELL (EXIT),2010-09-27,SANWARIA.NS,Weekly,10.69,584,15.56,7089.76,1997.28,33.76,1963.52,27.69515470199273,121409.50000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0030_SANWARIA.NS_2010-07-21_PROFIT.png
63,32,BUY (ENTRY),2010-09-23,UNICHEMLAB.NS,Weekly,165.64,26,194.09,5046.34,0.0,0.0,0.0,0.0,75847.52000000005,1:2,OPEN,N/A
64,31,SELL (EXIT),2010-12-20,NTPC.NS,Weekly,160.17,242,175.66,40515.64,1994.08,108.04,1886.04,4.6550912190946505,123295.54000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0031_NTPC.NS_2010-09-09_PROFIT.png
65,33,BUY (ENTRY),2010-09-27,ASIANHOTNR.NS,Monthly,377.0,27,305.1,8237.7,0.0,0.0,0.0,0.0,110011.50000000003,1:2,OPEN,N/A
66,33,SELL (EXIT),2010-11-26,ASIANHOTNR.NS,Monthly,377.0,27,268.73,8237.7,-981.99,33.22,-1015.21,-12.323949646139091,122280.33000000003,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0033_ASIANHOTNR.NS_2010-09-27_LOSS.png
67,34,BUY (ENTRY),2010-11-29,SAIL.NS,Monthly,184.2,121,176.58,21366.18,0.0,0.0,0.0,0.0,95867.81000000003,1:2,OPEN,N/A
68,32,SELL (EXIT),2010-12-20,UNICHEMLAB.NS,Weekly,165.64,26,269.63,5046.34,1964.04,29.18,1934.86,38.3418477550066,124215.19000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0032_UNICHEMLAB.NS_2010-09-23_PROFIT.png
